time	V(rpm)	I(L1)
1.007570992944184e+01	3.985065e+02	-6.939980e-01
1.007835992944182e+01	3.874131e+02	-6.746821e-01
1.008100992944180e+01	3.766195e+02	-6.558881e-01
1.008102592944180e+01	3.765551e+02	-6.557759e-01
1.008534092944179e+01	3.596007e+02	-6.262546e-01
1.008965592944177e+01	3.432749e+02	-5.978280e-01
1.009397092944176e+01	3.275778e+02	-5.704960e-01
1.009828592944174e+01	3.125093e+02	-5.442585e-01
1.010260092944173e+01	2.980695e+02	-5.191157e-01
1.010691592944171e+01	2.842583e+02	-4.950676e-01
1.011123092944170e+01	2.710758e+02	-4.721140e-01
1.011126292944170e+01	2.709796e+02	-4.719465e-01
1.011555692944168e+01	2.583878e+02	-4.500214e-01
1.011985092944167e+01	2.462607e+02	-4.289056e-01
1.012414492944166e+01	2.345983e+02	-4.085989e-01
1.012843892944164e+01	2.234007e+02	-3.891015e-01
1.013273292944163e+01	2.126679e+02	-3.704133e-01
1.013702692944162e+01	2.023998e+02	-3.525343e-01
1.014132092944161e+01	1.925964e+02	-3.354646e-01
1.014390292944160e+01	1.868673e+02	-3.254890e-01
1.014783250087016e+01	1.784426e+02	-3.108198e-01
1.015176207229873e+01	1.703063e+02	-2.966528e-01
1.015569164372729e+01	1.624583e+02	-2.829878e-01
1.015962121515585e+01	1.548987e+02	-2.698249e-01
1.016355078658442e+01	1.476275e+02	-2.571641e-01
1.016748035801298e+01	1.406446e+02	-2.450054e-01
1.017140992944155e+01	1.339500e+02	-2.333488e-01
1.017444392944154e+01	1.289400e+02	-2.246252e-01
1.017747792944154e+01	1.240651e+02	-2.161371e-01
1.018051192944154e+01	1.193254e+02	-2.078842e-01
1.018354592944153e+01	1.147208e+02	-1.998666e-01
1.018657992944153e+01	1.102514e+02	-1.920844e-01
1.018961392944153e+01	1.059171e+02	-1.845374e-01
1.019264792944153e+01	1.017179e+02	-1.772258e-01
1.019267992944152e+01	1.016742e+02	-1.771497e-01
1.019643035801295e+01	9.665605e+01	-1.684120e-01
1.020018078658437e+01	9.180201e+01	-1.599601e-01
1.020393121515580e+01	8.711210e+01	-1.517939e-01
1.020768164372722e+01	8.258632e+01	-1.439136e-01
1.021143207229865e+01	7.822467e+01	-1.363190e-01
1.021518250087007e+01	7.402714e+01	-1.290102e-01
